,UUID,GameName,CategoryName,PlayerNamesTwitch,StartTimestamp,EndTimestamp,TimerStartTimestamp,TimerEndTimestamp,IntroTime,OutroTime,,Estimate,Actual Time,% Off Estimate,Setup Time,Setup Under 10 Minutes?,Comment,Run Under Estimate?,Comment,,,,,,,00:10:00
10000,udshfoidshfdsfsdf,Opening Speech,Speech%,"{"""":""""}",1658576704,1658577446,1658576704,1658577446,0,0,,00:10:00,0:12:22,23.67%,,,,NO :(,,,,,,,,
10001,099993df-ee5e-4ab8-b025-451b2b116b9c,The Stanley Parable: Ultra Deluxe,Any% (Unrestricted),"{""Nikoheart"":""Nikoheart""}",1658577764,1658580802,1658577940,1658580622,176,180,,00:45:00,0:44:42,-0.67%,0:05:18,YES :),,YES :),,Total runs:,134,,,,,
10003,64212f35-a4ed-4ca7-893c-7d3ffaf7cf39,Shantae and the Pirate's Curse,Any% (Pirate Mode),"{""AEtienne"":""AEtienne""}",1658581370,1658584370,1658581409,1658584219,39,151,,00:55:00,0:46:50,-14.85%,0:09:28,YES :),,YES :),,Runs over estimate:,34,,,,,
10004,6fc64483-ac9d-4bee-836a-44cdbbde3869,Trek to Yomi,Any% (Kensei / One Hit),"{""Aeshmah_"":""Aeshmah_""}",1658584966,1658589811,1658585244,1658589464,278,347,,01:30:00,1:10:20,-21.85%,0:09:56,YES :),,YES :),,Runs under estimate:,100,,,,,
10005,f6f0c789-0ced-420a-92d1-cbc1add5e34f,Star Fox 64,Single Segment Score Run,"{""Argick"":""Argick""}",1658590305,1658593346,1658590343,1658593131,38,215,,00:50:00,0:46:28,-7.07%,0:08:14,YES :),,YES :),,Average % off estimate:,-8.33%,,,,,
10006,1775d166-5730-4889-ace3-f9e81263f1a1,GeoGuessr,A Diverse World (25k),"{""emilyapocalypse"":""emilyapocalypse""}",1658594229,1658597163,1658594321,1658597042,92,121,,00:35:00,0:45:21,29.57%,0:14:43,NO :(,,NO :(,Donation Incentive,Setup over 10 minutes:,68,,,,,
10007,c16d37d4-4ccb-4c25-8fa3-c3b890c1ffd8,Home Alone,Showcase Challenge Run,"{""Apollo22237"":""Apollo22237""}",1658597767,1658599076,1658597794,1658598993,27,83,,00:25:00,0:19:59,-20.07%,0:10:04,NO :(,Used both console stations for 1p,YES :),,Setup under 10 minutes:,65,,,,,
10008,072ab680-2504-4176-8bf3-b3863f0f9db9,Super Mario Bros. 2,All Levels,"{""coolkid"":""coolkid""}",1658599518,1658600993,1658599544,1658600905,26,88,,00:25:00,0:22:41,-9.27%,0:07:22,YES :),,YES :),,Average setup time:,0:11:42,,,,,
10009,598bae31-5f62-431f-8906-a936794f664b,Jubeat,Rhythm Game Showcase,"{""vincent573"":""vincent573""}",1658601713,1658604768,1658601843,1658604722,130,46,,00:50:00,0:47:59,-4.03%,0:12:00,NO :(,unique arcade setup,YES :),Donation Incentive,setup % under 10 minutes:,48.87%,,,,,
10010,5f092943-c3a1-451f-9894-cd82d88c26fa,Castlevania: Circle of the Moon,All Bosses (Vampire Killer),"{""TheBlacktastic"":""TheBlacktastic""}",1658605550,1658607562,1658605584,1658607476,34,86,,00:36:00,0:31:32,-12.41%,0:13:02,NO :(,,YES :),,,,,,,,
10011,ff45b01f-d753-459c-a8a3-08c8f5bef245,Dark Souls II: Scholar of the First Sin,Old Souls (Unrestricted),"{""JeffTheBigLizard"":""JeffTheBigLizard""}",1658608458,1658612091,1658608543,1658612051,85,40,,01:10:00,0:58:28,-16.48%,0:14:56,NO :(,,YES :),,Setup before getting playlist length:,,,,,,
10012,288acfcd-5390-45ab-b279-8578de15995b,Sly Cooper and the Thievius Raccoonus,All Vaults (Remaster),"{""Slysonic"":""Slysonic""}",1658613627,1658618952,1658613648,1658618805,21,147,,01:35:00,1:25:57,-9.53%,0:25:36,NO :(,,YES :),,Setup over 10 minutes:,30,,,,,
10013,ae033126-ef8b-4d74-b1b8-d41c9874d694,Sonic Lost World,Any% (Wingless),"{""GordinRamsay"":""GordinRamsay""}",1658619748,1658624812,1658619805,1658624742,57,70,,01:30:00,1:22:17,-8.57%,0:13:16,NO :(,,YES :),,Setup under 10 minutes:,35,,,,,
10014,4ca7dfe3-40bb-4697-b027-22c58aa0d72f,Cyberpunk 2077,Any%,"{""yisk"":""yisk""}",1658625552,1658636371,1658625552,1658636289,0,82,,02:55:00,2:58:57,2.26%,0:12:20,NO :(,,NO :(,,Average setup time:,0:11:17,,,,,
10015,9c3b719d-8b34-40f5-89fd-191656ff5058,Uncharted: The Lost Legacy,All Treasures,"{""osskari"":""osskari""}",1658637035,1658643924,1658637096,1658643814,61,110,,01:52:00,1:51:58,-0.03%,0:11:04,NO :(,,YES :),,setup % under 10 minutes:,53.85%,,,,,
10016,e5eec6d6-8237-4d83-a7be-02ea30d25ef1,Command & Conquer: Red Alert 2,Soviet Campaign,"{""Heinki"":""Heinki""}",1658644376,1658647937,1658644420,1658647893,44,44,,01:05:00,0:57:53,-10.95%,0:07:32,YES :),,YES :),,,,,,,,
10017,085e0335-56fb-4bdb-ba7c-0046e5e24fda,Crash Bandicoot,100%,"{""Rexaaayyy"":""Rexaaayyy""}",1658648579,1658653160,1658648595,1658653039,16,121,,01:20:00,1:14:04,-7.42%,0:10:42,NO :(,,YES :),,Setup after getting playlist length:,,,,,,
10018,4e16a09a-fee7-450b-a83f-bae9b9db20f5,Lightning Returns: Final Fantasy XIII,Any% (w/ Drop Mod),"{""daspharaoh"":""daspharaoh"",""enkwolf"":""enkwolf""}",1658654202,1658662596,1658654265,1658662490,63,106,,02:10:00,2:17:05,5.45%,0:17:22,NO :(,,NO :(,Donation Incentive,Setup over 10 minutes:,38,,,,,
10019,ccd7c6aa-d8e7-437d-a0a3-1cae333e85bf,Xenoblade Chronicles: Future Connected,Any% (Casual Mode),"{""RebelDragon95"":""RebelDragon95""}",1658663062,1658665320,1658663078,1658665228,16,92,,00:45:00,0:35:50,-20.37%,0:07:46,YES :),,YES :),,Setup under 10 minutes:,30,,,,,
10020,4d6342cc-e6bd-4218-9ab0-c307c6b526b9,TrackMania 2: Canyon,Platform DLC (All Tracks),"{""Rastats"":""Rastats""}",1658665840,1658667587,1658665934,1658667487,94,100,,00:27:00,0:25:53,-4.14%,0:08:40,YES :),,YES :),,Average setup time:,0:12:06,,,,,
10021,2eb3cd99-9544-4d56-987d-e47d72f79c48,Mario Kart: Double Dash!!,All Cup Tour,"{""GoombaNL"":""GoombaNL""}",1658668152,1658670369,1658668201,1658670294,49,75,,00:36:00,0:34:53,-3.10%,0:09:25,YES :),,YES :),,setup % under 10 minutes:,44.12%,,,,,
10022,d45f63f4-9045-4284-a64b-38b6278ab47a,Neon Drive,Full game (Insane),"{""Ya-GG"":""yajijy""}",1658670790,1658671881,1658670869,1658671822,79,59,,00:20:00,0:15:53,-20.58%,0:07:01,YES :),,YES :),,,,,,,,
10023,a465aae1-12ba-47b9-8c77-5f6d24b390cb,Shadow Warrior 3,Any%,"{""83kY"":""83kY""}",1658672911,1658676176,1658673004,1658676059,93,117,,01:00:00,0:50:55,-15.14%,0:17:10,NO :(,,YES :),,min % off estimate:,-99.78%,Closing Speech,,,,
10024,030ed2d6-2168-469f-b6f6-a638d7d28bc5,Grand Theft Auto: Vice City,All Missions,"{""EnglishBen"":""English_Ben""}",1658676973,1658686248,1658677083,1658686152,110,96,,02:30:00,2:31:09,0.77%,0:13:17,NO :(,,NO :(,,max % off estimate:,33.83%,DOOM (2016),,,,
10025,baef16b4-246c-4a57-b7bc-0bca222003b0,Hades,3 Weapons,"{""OckE93"":""OckE93"",""webs2d"":""webs2d""}",1658687466,1658690767,1658687568,1658690344,102,423,,00:50:00,0:46:16,-7.47%,0:20:18,NO :(,,YES :),Donation Incentive,,,,,,,
10026,6f2d71d7-4978-4bfc-abab-36a54ac51dba,GITADORA,Drum Kit Showcase,"{""vincent573"":""vincent573""}",1658691589,1658693389,1658691660,1658693335,71,54,,00:30:00,0:27:55,-6.94%,0:13:42,NO :(,unique arcade setup,YES :),Donation Incentive,Longest intro:,00:06:57,Mirror's Edge,,,,
10027,fc3cc8ba-9016-43c7-95f9-8d529c48c929,Elden Ring,All Remembrances,"{""catalystz"":""catalystz""}",1658694080,1658700909,1658694158,1658700605,78,304,,01:55:00,1:47:27,-6.57%,0:11:31,NO :(,,YES :),,Shortest intro:,00:00:00,Opening Speech,,,,
10028,533db98d-6ad1-4f13-9205-7120b3ee1b4a,Sekiro: Shadows Die Twice,Randomizer,"{""Murtag"":""TaruMurtag""}",1658701643,1658708174,1658701717,1658707947,74,227,,02:15:00,1:43:50,-23.09%,0:12:14,NO :(,,YES :),,Average intro:,00:01:10,,,,,
10029,2ff4b2cd-bab6-409a-b1cb-222e2243bf32,The Legend of Zelda: The Minish Cap,Any%,"{""Myth197"":""Myth197""}",1658708865,1658714845,1658708901,1658714726,36,119,,01:40:00,1:37:05,-2.92%,0:11:31,NO :(,,YES :),,,,,,,,
10030,38e06dbc-2b84-4224-95d7-6027557ae5e0,Touhou Gouyoku Ibun ~ Suibotsushita Chinshuu Jigoku,Full Game (True Ending),"{""Naro"":""Naro""}",1658715317,1658719334,1658715362,1658719226,45,108,,01:15:00,1:04:24,-14.13%,0:07:52,YES :),,YES :),,Longest outro:,00:35:32,Closing Speech,,,,
10031,9d4a2e94-3899-48b0-bbbf-9cebf0ad00b4,Worms Armageddon,All Missions (Any%),"{""RuffledBricks"":""RuffledBricks""}",1658719982,1658724601,1658720135,1658724544,153,57,,01:25:00,1:13:29,-13.55%,0:10:48,NO :(,,YES :),,Shortest outro:,00:00:00,Opening Speech,,,,
10032,7b317fcd-629d-4e69-b58a-209da4396310,Skylar & Plux: Adventure on Clover Island,100%,"{""Matse007"":""Matse007""}",1658725437,1658727748,1658725495,1658727618,58,130,,00:45:00,0:35:23,-21.37%,0:13:56,NO :(,,YES :),,Average outro:,00:02:19,,,,,
10033,9497a253-239e-437f-8410-b648d90d42b8,Prince of Persia: The Forgotten Sands,Any% (Standard),"{""epicdudeguy"":""epicdudeguy""}",1658728821,1658734348,1658728850,1658734241,29,107,,01:25:00,1:29:51,5.71%,0:17:53,NO :(,,NO :(,,,,,,,,
10034,74e19bae-a887-4da4-9da1-1319e1a531e7,Duke Nukem: Manhattan Project,Any% (Hard),"{""Tezur0"":""Tezur0""}",1658734932,1658740515,1658734973,1658740443,41,72,,01:30:00,1:31:10,1.30%,0:09:44,YES :),,NO :(,,,,,,,,
